THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE,neg
fuck that facebook bullshit. #twitter bitch,pos
I feel all alone on #twitter. #itstolate,neg
I have been blown away by technological innovations.... #microsoft should do more #marketing!!,pos
good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb,neg
#android 4.0!!  Ice Cream Sandwich will now make all other smartphone operating systems look outdated.  #Androidbeam Wowww..  #google,pos
@RonakKataria @apple you heard of testing before deploying updates. Difference between microsoft & apple: None,neg
@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5,neg
@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.,pos
none of my apps work after the new ios from @apple. what do i do?!?,neg
"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)",pos
"If #Microsoft had more interoperability between their products (Xbox 360, Windows 7, Windows Phone 7, Zune) I'd be a Windows Phone user.",neg
"RT @phxguy88: Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR",neg
@Apple unhappy again with service/product quality. Won't buy @Apple again.,neg
Ugh. WTF is up with all the bottlenecks @paypal @apple?,neg
Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.,neg
I hate #Microsoft PowerPoint!,neg
"The Future of #Information: Innovators from #Google, #Microsoft &#Twitter  Nov. 14-18  Info & registration at http://t.co/kJKZ77Zy #UMD",pos
RT @RoycinD: Face Unlock ! #ICS Literally knows your face! #Google #galaxynexus FAILED !,neg
Thank you #twitter for not giving me the 10 tweets that have been tweeted at me in the past 3 days! Lol #blameitontheiphone #ineedtoupdate,neg
Hello #twitter!,pos
RT @anup_pillai: How #Apple eclipsed #Microsoft | http://t.co/r6hNEtTu,neg
"RT @JDougyJ: hey @apple do you wanna fix my fucking playlist order, you piece of shit",neg
"This does not bode well. After charging all night, my @Apple iPhone 4S has 25% battery after only 3hr off charger with no calls & light use",neg
@apple why does #iPhone4 plus #iOS5 equal half the battery life?,neg
"RT @drewbezanson: You can literally go back and forth between #Facebook, #twitter, #text and #email all do. #technology is too good.",pos
On #Microsoft Excel making functions like it's my job #Productive,pos
#Microsoft #Dynamics #NAV is a cesspit. Extreme consultingware. To be avoided...,neg
RT @IAmDkT: The only letdown of the Samsung Galaxy Nexus phone is the 5.0 MP Camera. #ICS #Samsung #SamsungGalaxyNexus #SGN #Android #Google,neg
"Is it too much to ask which app is incompatible, @apple? http://t.co/yKqip7nk",neg
Nexus Prime looks NICE. #google #android,pos
removing all @apple shit.,neg
"@8Sunni Yeah shit happens, #Twitter is a real whore sometimes!",neg
"#microsoft #careers site is giving errors for any thing i search!! #weird
http://t.co/vJ2JpKtM http://t.co/02dYONXz",neg
"Now, really #google how hypocritical is this? http://t.co/6nHuYFeh #analytics",neg
Awesome! #Microsoft  #holodeck bit.ly/qpGxle,pos
Just searching with my voice on my 2 year old nexus one @apple.,neg
"Another Gem from #Microsoft - Curate your personal history with  ""Project Greenwich"".  Available later this month. http://t.co/KgNrbVgp",pos
People should be more interesting on #facebook and #twitter at midnight. I'm getting bored.,neg
@rygurl you need an @apple iphone4S with Siri!,pos
"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple",pos
#Microsoft Lync crash issue on #Mac OS X 10.7.2 [Fixed] - http://t.co/rzucFejc,neg
"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.",pos
Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -,pos
RT @asherCFO: #Yahoo up 4 sale - again! Yrs back #Microsoft almost bought it & now glad it didn't. This could b deal of the year that do ...,pos
"#Google introduce new Android tablet called 'Ice Cream Sandwich'? I'm a #Singaporean, and I'm (very) confused.",neg
"Infinite Spiral Bookcase for #Google Books looks amazing, interested to see where it is headed: http://t.co/RXWD6sN8",pos
Telegraph reports that the biggest threat to #facebook is its power users have shifted to #twitter or #google+ http://t.co/JHdTYKCV,pos
"Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment",neg
"Overall I am a fan of the iPhone 4S; however, my Siri has issues connecting to the network @Apple",neg
